Id	species	Syp/allo	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26
CAS5570	fortis	Sympatry	-0.045710679	0.006496139	0.016955901	0.002365035	-0.005669324	0.002974536	0.002979796	8.24E-04	-0.005265269	0.008326592	-0.003659088	-0.003398834	-0.002503957	3.50E-04	-0.003013242	-8.15E-04	-6.58E-04	3.99E-04	-2.16E-04	-2.40E-04	-7.76E-04	-7.12E-07	-3.54E-04	-4.50E-04	-8.54E-05	1.87E-04
CAS5575	fortis	Allopatry	0.030827964	-0.023954656	6.62E-04	-0.019562842	-0.016563526	-0.001610394	0.010765594	0.00945511	-0.004537663	-0.005304335	7.53E-04	-0.001677168	-0.001581108	-0.004854625	0.00180162	0.005085148	0.002234037	-0.003925921	0.004939259	-0.001286539	0.003772755	-3.17E-04	-0.004978831	0.001354344	2.62E-04	-1.23E-04
CAS5578	fortis	Sympatry	0.026182735	0.012606526	-0.016205205	0.020490037	0.001997917	0.010640941	-0.003105654	-0.008436629	-0.0030411	8.87E-04	0.00219927	-0.004399113	0.00307322	-8.86E-04	-0.002642958	0.006096547	0.004947526	-0.002488158	-6.53E-04	0.005187072	0.0063806	-0.001766051	0.003347814	5.90E-04	-0.001225363	8.75E-04
CAS5602	fortis	Sympatry	0.022365668	0.014095548	0.006694533	0.033442307	0.009601173	0.018731567	-0.002747266	-0.001706292	-0.009068592	-0.003791654	7.02E-04	0.003242871	-0.004275243	0.002624144	1.59E-04	-0.001873532	-9.51E-04	3.23E-04	9.93E-04	-0.002395499	7.06E-04	-9.31E-04	4.75E-04	2.86E-04	-2.93E-04	-1.26E-04
CAS5762	fortis	Allopatry	0.047203002	-0.039413502	0.010064514	-0.024784895	-0.006376635	-0.009675598	0.009154887	-0.009240841	-0.001848166	-0.011219391	-6.98E-04	-0.001081845	0.007250839	0.003419844	0.011017247	0.004862015	-0.002726865	-0.003112813	0.001842139	2.65E-04	-0.005871234	-0.002515483	-1.34E-04	-0.003990919	0.002728349	-0.001132369
CAS5841	fuliginosa		-0.003088156	0.017981668	-0.006837794	0.009382423	0.002534583	-8.05E-04	-0.006460993	-0.003117083	-0.00751155	-0.002128748	0.007118743	0.003428765	-0.006479477	0.001189998	0.003231663	0.002433434	-1.84E-04	-0.005161889	-5.60E-05	0.001225114	0.002081862	0.001330511	-0.001455678	6.30E-04	-0.002910558	0.001248674
CAS6004	fortis	Allopatry	-0.224888842	0.006890054	-0.007142592	0.007114712	0.011728699	0.014038634	-2.36E-05	0.004793708	0.012674436	-8.09E-04	-0.002978595	-0.001927449	-0.001980424	-0.00207033	-0.002713606	-0.002080437	-0.001990062	0.003407706	-0.001648458	-0.001085487	-3.17E-04	-0.001111533	3.81E-04	1.73E-04	-5.20E-04	0.001038762
CAS6064	fortis	Allopatry	-0.024426128	-0.046493831	0.006327868	-0.010401896	0.007099326	-0.002030101	-3.26E-04	8.14E-04	-0.006147355	-0.002676923	0.003641935	-1.97E-04	-0.002929833	-0.003400431	-5.92E-05	0.001788114	6.14E-04	0.001886854	-0.00111204	4.71E-04	-3.19E-04	-5.18E-04	4.21E-04	2.14E-04	-2.59E-04	-6.58E-05
CAS6090	fortis	Sympatry	-0.036259469	-0.033429898	0.007364426	-0.009547876	0.008084923	-0.0036807	-3.17E-04	-0.008634107	0.004700955	-0.005417062	-5.19E-04	-0.001735335	-5.87E-04	-0.003242046	0.002309321	0.002649636	0.002765384	5.54E-04	0.001218849	3.29E-04	7.98E-04	8.84E-04	-7.38E-04	-2.09E-04	-2.57E-04	2.60E-04
CAS6117	fortis	Sympatry	-0.10046012	-0.025953549	-0.00310304	0.003248427	-0.006031355	-0.005411129	0.001355073	0.002975051	2.68E-04	3.03E-04	0.00580087	-0.002499167	-0.001294073	-0.003003915	-9.20E-04	0.004225056	-3.25E-04	0.001513147	-0.002974515	-3.38E-04	4.29E-05	-3.29E-04	-6.68E-04	-2.54E-04	-0.001158807	2.60E-04
